id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,,model_no
1252350,21,"-37.78171322662849, 144.95986499626397",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78171323,144.95986499626397,,,,1,1,0,,,,,,"{""coordinates"": [144.95986499626397, -37.78171322662849], ""type"": ""Point""}",0,43.85386076,148,Signage,Sign - Public Transport,13819,,529140,,Sign - Public Transport 1 Panel,1252350,22386,,P.16
1252703,21,"-37.81172390817975, 144.95668033737152",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81172391,144.95668033737152,,,,1,1,0,,,,,,"{""coordinates"": [144.95668033737152, -37.81172390817975], ""type"": ""Point""}",0,16.06194587,260,Signage,Sign - Public Transport,15096,,110759,,Sign - Public Transport 1 Panel,1252703,22615,,P.16
1244925,21,"-37.827431112117395, 144.9027175957814",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82743111,144.9027175957814,,,,1,1,0,,,,,,"{""coordinates"": [144.9027175957814, -37.827431112117395], ""type"": ""Point""}",0,29.33540886,121,Signage,Sign - Public Transport,16854,,580037,,Sign - Public Transport 1 Panel,1244925,22168,,P.16
1245353,21,"-37.81828097717471, 144.96037240676188",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81828098,144.96037240676188,,,,1,1,0,,,,,,"{""coordinates"": [144.96037240676188, -37.81828097717471], ""type"": ""Point""}",0,23.13283467,276,Signage,Sign - Public Transport,17385,,559046,,Sign - Public Transport 1 Panel,1245353,20133,,P.16
1245023,21,"-37.8237568776443, 144.92164221918702",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82375688,144.92164221918702,,,,1,1,0,,,,,,"{""coordinates"": [144.92164221918702, -37.8237568776443], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,18023,,0,,Sign - Public Transport 1 Panel,1245023,22159,,P.16
1249163,21,"-37.83050250727819, 144.97139274185386",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.83050251,144.97139274185386,,,,1,1,0,,,,,,"{""coordinates"": [144.97139274185386, -37.83050250727819], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,18285,,0,,Sign - Public Transport 1 Panel,1249163,22467,,P.16
1579933,21,"-37.79854435502073, 144.95795135251927",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.79854436,144.95795135251927,,,,1,1,0,,,,,,"{""coordinates"": [144.95795135251927, -37.79854435502073], ""type"": ""Point""}",0,51.88217484,77,Signage,Sign - Public Transport,19870,,638052,,Sign - Public Transport 1 Panel,1579933,22514,,P.16
1268440,21,"-37.81759594129376, 144.96174844051686",Sign - Public Transport 1 Panel Bus Stop Type 13,,,,-37.81759594,144.96174844051686,,,,1,1,0,,,,,,"{""coordinates"": [144.96174844051686, -37.81759594129376], ""type"": ""Point""}",0,10.64392282,126,Signage,Sign - Public Transport,19878,,527371,,Sign - Public Transport 1 Panel,1268440,20171,,P.16
1345094,21,"-37.81899391883097, 144.9617683754036",Sign - Public Transport 1 Panel Bus Stop Type 12,,,,-37.81899392,144.9617683754036,,,,1,1,0,,,,,,"{""coordinates"": [144.9617683754036, -37.81899391883097], ""type"": ""Point""}",0,33.37655135,300,Signage,Sign - Public Transport,20012,,639653,,Sign - Public Transport 1 Panel,1345094,20218,,P.16
1236752,21,"-37.816192908308494, 144.96110340261552",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.81619291,144.96110340261552,,,,1,1,0,,,,,,"{""coordinates"": [144.96110340261552, -37.816192908308494], ""type"": ""Point""}",0,33.09135168,133,Signage,Sign - Public Transport,21881,,611679,,Sign - Public Transport 1 Panel,1236752,20172,,P.16
