census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2023,21,102106,102106,589-605 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Palm Sugar Thai Cafe,Part Ground 595 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,45,144.9552088785,-37.81937263384454,"{'lon': 144.9552088785, 'lat': -37.81937263384454}"
2023,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Spudbar Collins Street 567,"Tenancy 7B, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,16,144.95572468102446,-37.8190200855,"{'lon': 144.95572468102446, 'lat': -37.8190200855}"
2023,21,606461,606461,607-623 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Krispy Kreme,Shop 607 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.95468930417508,-37.8192924326,"{'lon': 144.95468930417508, 'lat': -37.8192924326}"
2023,22,102103,102103,487-503 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bonnie Coffee Brewers,"Shop 5, 495 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,12,144.95811744965,-37.81853994654838,"{'lon': 144.95811744965, 'lat': -37.81853994654838}"
2023,23,102098,102098,415-417 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Sherlock Holmes Inn,Gnd & Bmt 417 Collins Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.96086833885,-37.81746943542926,"{'lon': 144.96086833885, 'lat': -37.81746943542926}"
2023,23,708083,102100,408 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Warabi,Part Ground 408 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.95989716728047,-37.81802291835,"{'lon': 144.95989716728047, 'lat': -37.81802291835}"
2023,25,101788,101788,258-260 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Shandong Mama Mini,"Shop 5, Centre Place MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,9,144.96547439875002,-37.81664451891887,"{'lon': 144.96547439875002, 'lat': -37.81664451891887}"
2023,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Yen Sushi Noodle,12 Centre Place MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,4,144.96559654045,-37.81660289619204,"{'lon': 144.96559654045, 'lat': -37.81660289619204}"
2023,25,109264,109264,45-63 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Drumplings,Part Ground 61 Swanston Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,12,144.96662326245,-37.81632686333168,"{'lon': 144.96662326245, 'lat': -37.81632686333168}"
2023,26,102078,102078,189 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Box Seafood Restaurant,189 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.96770660785,-37.81546685879583,"{'lon': 144.96770660785, 'lat': -37.81546685879583}"
2023,26,109418,109418,199-209 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Lobby Lounge,Part 205 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.9674251999,-37.81581123044113,"{'lon': 144.9674251999, 'lat': -37.81581123044113}"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sofi's Lounge,Part Level 1 25-45 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.97262557265284,-37.81430518125,"{'lon': 144.97262557265284, 'lat': -37.81430518125}"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),No35,Part Level 35 35 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,200,144.97262557265284,-37.81430518125,"{'lon': 144.97262557265284, 'lat': -37.81430518125}"
2023,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Roll'D Collins Place,"Shop 50, 45 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,30,144.97262557265284,-37.81430518125,"{'lon': 144.97262557265284, 'lat': -37.81430518125}"
2023,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Express Kartel,"Shop 9, 500 Collins Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,16,144.9574758159,-37.81756267366522,"{'lon': 144.9574758159, 'lat': -37.81756267366522}"
2023,32,110093,110093,91-97 William Street MELBOURNE VIC 3000,Melbourne (CBD),Culpa Espresso,Part Ground 91 William Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,4,144.95851884245724,-37.8171182426,"{'lon': 144.95851884245724, 'lat': -37.8171182426}"
