census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,lng,lat,location,map_id,infoopen,category,approved,retina
2023,217,511124,511124,183 Elgin Street CARLTON VIC 3053,Carlton,Gemma Simply Italian,183 Elgin Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,15,144.96838433175,-37.79752923455136,"{'lon': 144.96838433175, 'lat': -37.79752923455136}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,218,103689,103689,201-203 Faraday Street CARLTON VIC 3053,Carlton,Shakahari Vegetarian Restaurant,201-203 Faraday Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,20,144.9678004722,-37.799004500043424,"{'lon': 144.9678004722, 'lat': -37.799004500043424}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,218,106209,106209,320 Lygon Street CARLTON VIC 3053,Carlton,Donnini's Restaurant,320 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,70,144.96749786739502,-37.799539632199995,"{'lon': 144.96749786739502, 'lat': -37.799539632199995}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,225,108237,108237,158 Rathdowne Street CARLTON VIC 3053,Carlton,Fenton Bistro,Ground 158 Rathdowne Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,8,144.9710859391253,-37.79578990885,"{'lon': 144.9710859391253, 'lat': -37.79578990885}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,225,108239,108239,138-150 Rathdowne Street CARLTON VIC 3053,Carlton,Chamman Ice Cream & Street Food,138B Rathdowne Street CARLTON VIC 3053,4512,Takeaway Food Services,Seats - Indoor,15,144.9710396301,-37.79604572413072,"{'lon': 144.9710396301, 'lat': -37.79604572413072}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Takeaway Food Services",1,1
2023,226,108229,108229,178 Rathdowne Street CARLTON VIC 3053,Carlton,Sushi Ten,178 Rathdowne Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,8,144.97118300327168,-37.79518796005,"{'lon': 144.97118300327168, 'lat': -37.79518796005}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,232,106944,106944,161-163 Nicholson Street CARLTON VIC 3053,Carlton,Al Dente Enoteca,Part 161-163 Nicholson Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,66,144.97480119085986,-37.79638866855,"{'lon': 144.97480119085986, 'lat': -37.79638866855}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,239,107548,107548,222-224 Pelham Street MELBOURNE VIC 3000,Carlton,Books N Bites Cafe,Ground 224 Pelham Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.95832787425002,-37.801694811944145,"{'lon': 144.95832787425002, 'lat': -37.801694811944145}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,242,101255,101255,Melbourne University 197-235 Bouverie Street CARLTON VIC 3053,Carlton,Graduate Union Of The University Of Melbourne Inc,230-234 Leicester Street CARLTON VIC 3053,4400,Accommodation,Seats - Indoor,200,144.96161813539172,-37.801036761099994,"{'lon': 144.96161813539172, 'lat': -37.801036761099994}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Accommodation",1,1
2023,246,101693,101693,156-164 Cardigan Street CARLTON VIC 3053,Carlton,Don Tojo,"Unit 3, 164 Cardigan Street CARLTON VIC 3053",4511,Cafes and Restaurants,Seats - Indoor,48,144.9656261700935,-37.8013262206,"{'lon': 144.9656261700935, 'lat': -37.8013262206}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,246,101693,101693,156-164 Cardigan Street CARLTON VIC 3053,Carlton,Don Tojo,"Unit 3, 164 Cardigan Street CARLTON VIC 3053",4511,Cafes and Restaurants,Seats - Outdoor,15,144.9656261700935,-37.8013262206,"{'lon': 144.9656261700935, 'lat': -37.8013262206}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
